Date,ZT_Open,ZT_High,ZT_Low,ZT_Close,ZT_Volume,DGS2
2018-01-05,106.921875,106.96875,106.890625,106.90625,367071.0,1.96
2018-01-08,106.8984375,106.9296875,106.890625,106.9140625,137297.0,1.96
2018-01-09,106.90625,106.9453125,106.890625,106.9140625,440716.0,1.98
2018-01-10,106.8984375,106.921875,106.875,106.90625,430710.0,1.98
2018-01-11,106.890625,106.921875,106.875,106.8984375,387944.0,1.98
2018-01-12,106.875,106.8828125,106.796875,106.84375,405341.0,1.99
2018-01-15,,,,,,
2018-01-16,106.8359375,106.859375,106.7890625,106.8203125,381990.0,2.03
2018-01-17,106.8125,106.8203125,106.75,106.7578125,412317.0,2.05
2018-01-18,106.7578125,106.7734375,106.734375,106.765625,464939.0,2.05
2018-01-19,106.7578125,106.7734375,106.7265625,106.7421875,363525.0,2.06
2018-01-22,106.734375,106.7421875,106.703125,106.7265625,368960.0,2.08
2018-01-23,106.734375,106.7890625,106.7265625,106.7734375,326409.0,2.06
2018-01-24,106.7890625,106.796875,106.7265625,106.734375,323713.0,2.08
2018-01-25,106.7421875,106.765625,106.6796875,106.7265625,425217.0,2.08
2018-01-26,106.71875,106.7265625,106.6328125,106.6640625,436571.0,2.13
2018-01-29,106.6640625,106.6796875,106.5859375,106.6640625,411358.0,2.11
2018-01-30,106.671875,106.6953125,106.625,106.6640625,405262.0,2.13
2018-01-31,106.671875,106.703125,106.578125,106.6171875,718978.0,2.14
2018-02-01,106.609375,106.6328125,106.5625,106.5859375,608720.0,2.16
2018-02-02,106.5703125,106.6328125,106.5390625,106.59375,704884.0,2.15
2018-02-05,106.609375,106.84375,106.59375,106.734375,857645.0,2.08
2018-02-06,106.828125,107.0078125,106.65625,106.7109375,824022.0,2.1
2018-02-07,106.671875,106.75,106.6015625,106.640625,692531.0,2.15
2018-02-08,106.65625,106.703125,106.609375,106.640625,646220.0,2.13
2018-02-09,106.6796875,106.8828125,106.640625,106.765625,905782.0,2.05
2018-02-12,106.71875,106.71875,106.640625,106.6875,524577.0,2.09
2018-02-13,106.6796875,106.7109375,106.640625,106.6640625,432218.0,2.1
2018-02-14,106.6640625,106.703125,106.5078125,106.53125,711593.0,2.17
2018-02-15,106.5390625,106.546875,106.453125,106.5234375,489510.0,2.19
2018-02-16,106.5078125,106.5546875,106.4921875,106.5390625,427427.0,2.21
2018-02-19,,,,,,
2018-02-20,106.53125,106.546875,106.4375,106.4921875,744385.0,2.25
2018-02-21,106.4921875,106.5234375,106.453125,106.4765625,884100.0,2.26
2018-02-22,106.4765625,106.53125,106.46875,106.515625,1125823.0,2.25
2018-02-23,106.5234375,106.5859375,106.5078125,106.5390625,1125823.0,2.25
2018-02-26,106.53125,106.59375,106.515625,106.5546875,1396171.0,2.22
2018-02-27,106.5546875,106.5859375,106.4609375,106.4921875,828442.0,2.27
2018-02-28,106.484375,106.515625,106.4453125,106.4921875,176113.0,2.25
2018-03-01,106.515625,106.6171875,106.484375,106.609375,94517.0,2.22
2018-03-02,106.59375,106.6328125,106.53125,106.5546875,33555.0,2.25
2018-03-05,106.5546875,106.609375,106.5234375,106.546875,15479.0,2.24
2018-03-06,106.53125,106.5703125,106.515625,106.5390625,9833.0,2.25
2018-03-07,106.546875,106.59375,106.515625,106.5390625,15965.0,2.25
2018-03-08,106.546875,106.5703125,106.53125,106.5390625,15239.0,2.25
2018-03-09,106.5390625,106.546875,106.5,106.5390625,4261.0,2.27
2018-03-12,106.5234375,106.546875,106.515625,106.546875,8674.0,2.27
2018-03-13,106.53125,106.59375,106.53125,106.546875,7574.0,2.26
2018-03-14,106.5703125,106.59375,106.5234375,106.5625,4019.0,2.26
2018-03-15,106.578125,106.578125,106.5078125,106.5234375,1953.0,2.29
2018-03-16,106.5078125,106.5390625,106.4921875,106.5,2298.0,2.31
2018-03-19,106.5,106.5390625,106.4765625,106.5078125,5669.0,2.31
2018-03-20,106.4765625,106.484375,106.421875,106.4453125,15685.0,2.34
2018-03-21,106.4375,106.5078125,106.3984375,106.4921875,4550.0,2.31
2018-03-22,106.4921875,106.5625,106.4921875,106.5234375,320.0,2.29
2018-03-23,106.5625,106.5703125,106.5546875,106.5546875,126.0,2.28
2018-03-26,106.5546875,106.5546875,106.5234375,106.5234375,496.0,2.33
2018-03-27,106.5546875,106.5859375,106.5390625,106.578125,4559.0,2.26
2018-03-28,106.625,106.625,106.546875,106.546875,1901.0,2.28
2018-03-29,106.5546875,106.5625,106.546875,106.546875,426798.0,2.27
2018-03-30,,,,,,
2018-04-02,106.28125,106.3984375,106.2734375,106.375,440284.0,2.25
2018-04-03,106.3671875,106.375,106.2734375,106.2890625,340626.0,2.28
2018-04-04,106.3125,106.359375,106.2578125,106.28125,284345.0,2.28
2018-04-05,106.265625,106.265625,106.234375,106.25,277567.0,2.3
2018-04-06,106.25,106.34375,106.2421875,106.328125,434845.0,2.27
2018-04-09,106.34375,106.34375,106.2734375,106.296875,274386.0,2.29
2018-04-10,106.296875,106.3125,106.234375,106.2578125,409499.0,2.32
2018-04-11,106.2578125,106.3203125,106.2421875,106.265625,363653.0,2.32
2018-04-12,106.2578125,106.28125,106.1796875,106.1875,372405.0,2.34
2018-04-13,106.1953125,106.2265625,106.1328125,106.1484375,313753.0,2.37
2018-04-16,106.1484375,106.15625,106.1015625,106.1484375,366463.0,2.39
2018-04-17,106.140625,106.1640625,106.109375,106.140625,358644.0,2.41
2018-04-18,106.1171875,106.125,106.046875,106.0625,434408.0,2.42
2018-04-19,106.0625,106.0859375,106.046875,106.0546875,416110.0,2.44
2018-04-20,106.0625,106.0859375,106.0078125,106.0234375,268223.0,2.46
2018-04-23,106.015625,106.03125,105.984375,106.0078125,284593.0,2.49
2018-04-24,105.984375,106.0390625,105.9609375,106.0390625,478347.0,2.48
2018-04-25,106.015625,106.03125,105.9765625,106.015625,377672.0,2.49
2018-04-26,106.015625,106.0546875,106.0,106.015625,319444.0,2.49
2018-04-27,106.015625,106.046875,106.0,106.03125,280707.0,2.49
2018-04-30,106.0234375,106.03125,106.0,106.0234375,331213.0,2.49
2018-05-01,106.015625,106.0234375,105.9765625,105.9765625,230749.0,2.5
2018-05-02,106.0,106.0234375,105.9609375,106.015625,298064.0,2.49
2018-05-03,106.0234375,106.078125,106.0078125,106.046875,316494.0,2.49
